Iteration,Verse,Scheduled,Read,Notes
2016,Genesis 1-2;Psalm 1;Matthew 1-2,01/01/2016,01/01/2016,-
2016,Genesis 3-4;Psalm 2;Matthew 3-4,01/02/2016,01/02/2016,-
2016,Genesis 5-7;Psalm 3;Matthew 5,01/03/2016,01/03/2016,-
2016,Genesis 8-9;Psalm 4;Matthew 6-7,01/04/2016,01/04/2016,-
2016,Genesis 10-11;Psalm 5;Matthew 8-9,01/05/2016,01/05/2016,-
2016,Genesis 12-13;Psalm 6;Matthew 10-11,01/06/2016,01/06/2016,-
2016,Genesis 14-15;Psalm 7;Matthew 12,01/07/2016,01/07/2016,-
2016,Genesis 16-17;Psalm 8;Matthew 13,01/08/2016,01/08/2016,-
2016,Genesis 18-19;Psalm 9;Matthew 14-15,01/09/2016,01/09/2016,-
2016,Genesis 20-21;Psalm 10;Matthew 16-17,01/10/2016,01/10/2016,-
2016,Genesis 22-23;Psalm 11;Matthew 18,01/11/2016,01/11/2016,-
2016,Genesis 24;Psalm 12;Matthew 19-20,01/12/2016,01/12/2016,-
2016,Genesis 25-26;Psalm 13;Matthew 21,01/13/2016,01/13/2016,-
2016,Genesis 27-28;Psalm 14;Matthew 22,01/14/2016,01/14/2016,-
2016,Genesis 29-30;Psalm 15;Matthew 23,01/15/2016,01/15/2016,-
2016,Genesis 31-32;Psalm 16;Matthew 24,01/16/2016,01/16/2016,-
2016,Genesis 33-34;Psalm 17;Matthew 25,01/17/2016,01/17/2016,-
2016,Genesis 35-36;Psalm 18;Matthew 26,01/18/2016,01/18/2016,-
2016,Genesis 37-38;Psalm 19;Matthew 27,01/19/2016,01/19/2016,-
2016,Genesis 39-40;Psalm 20;Matthew 28,01/20/2016,01/20/2016,-
2016,Genesis 41-42;Psalm 21;Mark 1,01/21/2016,01/21/2016,-
2016,Genesis 43-44;Psalm 22;Mark 2,01/22/2016,01/22/2016,-
2016,Genesis 45-46;Psalm 23;Mark 3,01/23/2016,01/23/2016,-
2016,Genesis 47-48;Psalm 24;Mark 4,01/24/2016,01/24/2016,-
2016,Genesis 49-50;Psalm 25;Mark 5,01/25/2016,01/25/2016,-
2016,Exodus 1-2;Psalm 26;Mark 6,01/26/2016,02/13/2016,-
2016,Exodus 3-4;Psalm 27;Mark 7,01/27/2016,02/13/2016,-
2016,Exodus 5-6;Psalm 28;Mark 8,01/28/2016,02/13/2016,-
2016,Exodus 7-8;Psalm 29;Mark 9,01/29/2016,02/13/2016,-
2016,Exodus 9-10;Psalm 30;Mark 10,01/30/2016,02/13/2016,-
2016,Exodus 11-12;Psalm 31;Mark 11,01/31/2016,02/13/2016,-
2016,Exodus 13-14;Psalm 32;Mark 12,02/01/2016,02/13/2016,-
2016,Exodus 15-16;Psalm 33;Mark 13,02/02/2016,02/13/2016,-
2016,Exodus 17-18;Psalm 34;Mark 14,02/03/2016,02/13/2016,-
2016,Exodus 19-20;Psalm 35;Mark 15,02/04/2016,02/13/2016,-
2016,Exodus 21-22;Psalm 36;Mark 16,02/05/2016,02/13/2016,-
2016,Exodus 23-24;Psalm 37;Luke 1,02/06/2016,02/13/2016,-
2016,Exodus 25-26;Psalm 38;Luke 2,02/07/2016,02/13/2016,-
2016,Exodus 27-28;Psalm 39;Luke 3,02/08/2016,02/13/2016,-
2016,Exodus 29-30;Psalm 40;Luke 4,02/09/2016,02/13/2016,-
2016,Exodus 31-32;Psalm 41;Luke 5,02/10/2016,02/13/2016,-
2016,Exodus 33-34;Psalm 42;Luke 6,02/11/2016,02/13/2016,-
2016,Exodus 35-36;Psalm 43;Luke 7,02/12/2016,02/13/2016,-
2016,Exodus 37-38;Psalm 44;Luke 8,02/13/2016,02/13/2016,-
2016,Exodus 39-40;Psalm 45;Luke 9,02/14/2016,02/14/2016,-
2016,Leviticus 1-2;Psalm 46;Luke 10,02/15/2016,02/15/2016,-
2016,Leviticus 3-4;Psalm 47;Luke 11,02/16/2016,02/16/2016,-
2016,Leviticus 5-6;Psalm 48;Luke 12,02/17/2016,02/17/2016,-
2016,Leviticus 7-8;Psalm 49;Luke 13,02/18/2016,02/18/2016,-
2016,Leviticus 9-10;Psalm 50;Luke 14,02/19/2016,02/18/2016,-
2016,Leviticus 11-12;Psalm 51;Luke 15,02/20/2016,02/22/2016,-
2016,Leviticus 13;Psalm 52;Luke 16,02/21/2016,02/22/2016,-
2016,Leviticus 14;Psalm 53;Luke 17,02/22/2016,02/22/2016,-
2016,Leviticus 15-16;Psalm 54;Luke 18,02/23/2016,02/23/2016,-
2016,Leviticus 17-18;Psalm 55;Luke 19,02/24/2016,02/26/2016,-
2016,Leviticus 19-20;Psalm 56;Luke 20,02/25/2016,02/26/2016,-
2016,Leviticus 21-22;Psalm 57;Luke 21,02/26/2016,02/26/2016,-
2016,Leviticus 23-24;Psalm 58;Luke 22,02/27/2016,02/27/2016,-
2016,Leviticus 25;Psalm 59;Luke 23,02/28/2016,02/28/2016,-
2016,Leviticus 26-27;Psalm 60;Luke 24,03/01/2016,03/01/2016,-
2016,Number 1-2;Psalm 61;John 1,03/02/2016,03/02/2016,-
2016,Number 3-4;Psalm 62;John 2-3,03/03/2016,03/03/2016,-
2016,Number 5-6;Psalm 63;John 4,03/04/2016,03/05/2016,-
2016,Number 7;Psalm 64;John 5,03/05/2016,03/05/2016,-
2016,Number 8-9;Psalm 65;John 6,03/06/2016,03/06/2016,-
2016,Number 10-11;Psalm 66;John 7,03/07/2016,03/07/2016,-
2016,Number 12-13;Psalm 67;John 8,03/08/2016,03/08/2016,-
2016,Number 14-15;Psalm 68;John 9,03/09/2016,03/09/2016,-
2016,Number 16;Psalm 69;John 10,03/10/2016,03/10/2016,-
2016,Number 17-18;Psalm 70;John 11,03/11/2016,03/11/2016,-
2016,Number 19-20;Psalm 71;John 12,03/12/2016,03/12/2016,-
2016,Number 21-22;Psalm 72;John 13,03/13/2016,03/13/2016,-
2016,Number 23-24;Psalm 73;John 14-15,03/14/2016,03/14/2016,-
2016,Number 25-26;Psalm 74;John 16,03/15/2016,03/15/2016,-
2016,Number 27-28;Psalm 75;John 17,03/16/2016,03/16/2016,-
2016,Number 29-30;Psalm 76;John 18,03/17/2016,03/19/2016,-
2016,Number 31-32;Psalm 77;John 19,03/18/2016,03/19/2016,-
2016,Number 33-34;Psalm 78;John 20,03/19/2016,03/19/2016,-
2016,Number 35-36;Psalm 79;John 21,03/20/2016,03/24/2016,-
2016,Deuteronomy 1-2;Psalm 80;Acts 1,03/21/2016,03/24/2016,-
2016,Deuteronomy 3-4;Psalm 81;Acts 2,03/22/2016,03/24/2016,-
2016,Deuteronomy 5-6;Psalm 82;Acts 3-4,03/23/2016,03/24/2016,-
2016,Deuteronomy 7-8;Psalm 83;Acts 5-6,03/24/2016,03/24/2016,-
2016,Deuteronomy 9-10;Psalm 84;Acts 7,03/25/2016,03/26/2016,-
2016,Deuteronomy 11-12;Psalm 85;Acts 8,03/26/2016,03/26/2016,-
2016,Deuteronomy 13-14;Psalm 86;Acts 9,03/27/2016,03/26/2016,-
2016,Deuteronomy 15-16;Psalm 87;Acts 10,03/28/2016,03/26/2016,-
2016,Deuteronomy 17-18;Psalm 88;Acts 11-12,03/29/2016,03/26/2016,-
2016,Deuteronomy 19-20;Psalm 89;Acts 13,03/30/2016,03/30/2016,-
2016,Deuteronomy 21-22;Psalm 90;Acts 14,03/31/2016,03/30/2016,-
2016,Deuteronomy 23-24;Psalm 91;Acts 15,04/01/2016,04/02/2016,-
2016,Deuteronomy 25-27;Psalm 92;Acts 16,04/02/2016,04/02/2016,-
2016,Deuteronomy 28-29;Psalm 93;Acts 17,04/03/2016,04/03/2016,-
2016,Deuteronomy 30-31;Psalm 94;Acts 18,04/04/2016,04/04/2016,-
2016,Deuteronomy 32;Psalm 95;Acts 19,04/05/2016,04/05/2016,-
2016,Deuteronomy 33-34;Psalm 96;Acts 20,04/06/2016,04/07/2016,-
